City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,pagar alam,-4.0167,103.2667,292.27,94,55,1.9,ID,1730060399
344,tidjikja,18.5564,-11.4271,301.8,21,99,4.29,MR,1730060400
345,usogorsk,63.4106,48.6872,273.55,94,19,1.18,RU,1730060401
346,eyl,7.9803,49.8164,299.6,82,40,4.1,SO,1730060402
347,waat,51.1454,6.4958,288.09,96,100,1.21,DE,1730060403
348,kayyerkan,69.3786,87.7439,262.09,94,100,4.65,RU,1730060404
349,horta,38.5333,-28.6333,292.6,80,40,5.66,PT,1730060406
350,ierapetra,35.01,25.7353,292.67,62,0,1.79,GR,1730060407
351,alghero,40.5589,8.3181,291.2,94,20,2.06,IT,1730060408
352,hengchun,22.0042,120.7439,299.43,80,97,5.77,TW,1730060409
353,bardai,11.65,7.2333,296.31,29,12,3.07,NG,1730060410
354,char bhadrasan,23.3167,90.2167,298.14,77,0,1.51,BD,1730060262
355,dalnerechensk,45.9339,133.7225,272.05,94,19,2.47,RU,1730060412
356,mejit,10.2753,170.8646,301.64,77,7,5.05,MH,1730060414
357,leh,34.1667,77.5833,277.4,25,47,1.62,IN,1730060415
358,dunedin,-45.8742,170.5036,283.6,75,85,2.68,NZ,1730060129
359,chui,-33.6971,-53.4616,292.01,63,3,3.82,UY,1730060417
360,hauterive,46.0901,3.4459,286.36,89,39,1.46,FR,1730060419
361,alesund,62.4723,6.1549,281.35,67,75,6.69,NO,1730060420
362,garissa,-0.4536,39.6401,300.91,56,100,7.28,KE,1730060422
